iso3,gdp_per_capita,unemployment_rate,life_expectancy,literacy_rate,gini_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_index,safety_index,healthcare_index,traffic_index,pollution_index,visa_free_count,residency_difficulty,digital_nomad_visa,investor_visa,eu_member,schengen,ru_visa_free,ru_banking_access,ru_sanctions_risk,country
CAN,0.3895914631143944,0.2100678838225722,0.9174353398248052,0.8588999751595008,0.965217391304348,0.48039215686274506,0.5076495132127956,0.5617486338797815,0.5083333333333333,0.6601307189542485,0.5240963855421685,0.6080508474576272,0.2946635730858469,0.2377158034528552,0.9420289855072463,0.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Canada
CHE,0.7528594910368479,0.14701962121446951,0.994217134386467,0.8332763365973519,0.965217391304348,1.0,1.0000000000000002,1.0,0.9999999999999998,0.9643493761140821,0.7981927710843372,0.6631355932203391,0.32018561484918795,0.16600265604249664,0.9927536231884058,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Switzerland
CHL,0.11430879534106603,0.2741390533461455,0.8924215953378714,0.8332763365973519,1.0,0.21895424836601304,0.200278164116829,0.2612021857923498,0.2541666666666667,0.2644087938205586,0.2966867469879517,0.5021186440677967,0.35730858468677507,0.8698539176626825,0.8623188405797102,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Chile
CHN,0.08938704685642418,0.1390223489662441,0.7808188049015905,0.8332763365973519,0.965217391304348,0.12636165577342048,0.12656467315716277,0.18032786885245905,0.05937500000000001,0.5092097445038621,0.8629518072289156,0.620762711864407,0.4129930394431556,0.8552456839309428,0.9927536231884058,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,China
COL,0.0500012610919649,0.25293698273457116,0.7773458275810123,0.8517251634768028,1.0,0.1394335511982571,0.13908205841446455,0.15956284153005462,0.12187500000000001,0.18775995246583482,0.28765060240963847,0.6144067796610171,0.5986078886310906,0.6693227091633467,0.7028985507246377,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Colombia
CRI,0.1280417716677319,0.20808406435014418,0.8802995687285444,0.8820516779675138,0.965217391304348,0.37037037037037035,0.36022253129346316,0.44808743169398907,0.33541666666666664,0.24480095068330368,0.39909638554216864,0.527542372881356,0.9118329466357309,0.39309428950863207,0.7028985507246377,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Costa Rica
CYP,0.27498766773103905,0.1486004773565606,0.9078496292042872,0.8332763365973519,0.965217391304348,0.434640522875817,0.4478442280945759,0.39672131147540984,0.4749999999999999,0.4717765894236483,0.7093373493975902,0.35593220338983067,0.10208816705336432,0.5776892430278884,0.8840579710144927,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.25,1.0,Cyprus
CZE,0.22486982303646152,0.08353739809677321,0.8463060927783423,0.8332763365973519,0.965217391304348,0.3714596949891068,0.3643949930458972,0.3530054644808743,0.28958333333333336,0.4937611408199645,0.8132530120481926,0.7648305084745763,0.18561484918793503,0.2908366533864542,0.963768115942029,0.6666666666666667,1.0,0.0,1.0,1.0,0.0,0.25,1.0,Czechia
DEU,0.40249136488124754,0.11100089891819846,0.8735099958053885,0.8332763365973519,0.965217391304348,0.542483660130719,0.5090403337969404,0.5103825136612024,0.5375000000000001,0.7724301841948902,0.6325301204819276,0.6885593220338986,0.18793503480278428,0.21779548472775562,0.9855072463768115,0.6666666666666667,1.0,0.0,1.0,1.0,0.0,0.25,1.0,Germany
DNK,0.5116575792606418,0.1673537708068566,0.9222978338688621,0.8332763365973519,0.965217391304348,0.6535947712418301,0.6147426981919334,0.5956284153005464,0.8166666666666667,0.82174688057041,0.8162650602409637,0.7902542372881358,0.15777262180974483,0.1447543160690571,0.9855072463768115,1.0,0.0,0.0,1.0,1.0,0.0,0.25,1.0,Denmark
